저는 이제 고1이 되는 학생입니다,1
이제 고1되는 학생입니다,1
저는 이제 고3이 되는 학생입니다,1
공부를 잘하는 편도 아닙니다,1
저는 공부를 잘하는 편은 아니에요,1
그런데 제가 공부를 잘하는 편은 아니에요,1
공부를 잘하는편도 다른것에 특출난것도 아니네요,1
공부를 그렇게 못하는 편은 아닙니다,1
공부를 아예 못하는건 아니였습니다,1
저는 15살 중학생입니다,1
저는 14살 여중학생입니다,1
중학생 16살입니다,1
저는 14살 중학생 입니다,1
중1  입니다,1
중2입니다,1
저는 중2 태환이 입니다,1
저는 중2입니다,1
중 14 심세훈입니다,1
저는 중1인데요,1
저는 이제 1학년을 마치고 겨울방학을 보내고 있는 학생입니다,1
예비 고3입니다,1
안녕하세요 이제 고 2 올라가는 학생입니다,1
올해 예비고1 입니다,1
저는 평범한 중학생입니다,1
3번째 마지막 고등학교 입니다,1
이제 곧 고2입니다,1
저는 평범한 인문계 고등학교를 다니는 학생입니다,1
평범한 고등학교 2학년입니다,1
지방에 있는 학교에 다니고 있는 학생입니다 ,1
08년생 여학생입니다,1
현재 중3입니다,1
15살 중2 남학생입니다,1
경영정보과에 다니고 있는 18살 학생입니다,1
저는 고등학생입니다,1
전 평범한 중학교 1학년입니다,1
저는 어느 중학교에 재학중인 평범한 여중생입니다,1
특성화고에 재학중인 고2학생 입니다,1
현재 특성화 고등학교에 재학중인 고등학생 2학년 입니다,1
저는 중학교를 다니는 1학년 학생입니다,1
현재 고등학교 진학 문제로 갈등하고 있는 중학교 3학년 학생입니다,1
특성화고등학교에 다니고 있는 1학년 입니다,1
저는 14살 중학교 1학년 학생입니다,1
현재 전라남도 인문계 고등학교 재학중인 고1입니다,1
성우를 꿈꾸는 학생입니다,1
음 저는 평범한 중3 학생입니다,1
현재 인문고에 다니고있는 고 1 남학생입니다,1
전 중학교 1학년 14살 여학생입니다,1
경북에 거주하고 있는 고2입니다,1
현재 만화가를 꿈꾸는 14살입니다,1
현재 고1인 학생입니다,1
저는 평범한 중학생 입니다,1
고2 남학생이고 내신은 45등급 입니다,1
현재 고3입니다,1
현재 중3학생입니다,1
저는 17살 남자 고등학생입니다,1
17세 학생입니다,1
저는 지금 천안에서 일반고 재학중인 1학년 학생입니다,1
현재 고등학교 1학기가 지나고 2학기를 보내게 된 고등학교 1학년 학생입니다,1
저는 일반 여중에 다니는 중3입니다,1
저는 일반계 고등학교에 다니고 있는 고2 여학생 입니다,1
비평준화 일반고에 재학중인 고1 학생입니다,1
저는 지방에 있는 일반고를 다니고 있는 고1입니다,1
저는 시골에 사는 다문화가정의 고2 여학생입니다,1
고등학생 2학년 경영회계과에 재학중인 학생입니다,1
저는 현재 고등학교에 재학 중인 고1 여학생 입니다 ,1
중학교 2학년 여학생이에요,1
청량중 3학년입니다,1
울산에 사는 중3학생입니다,1
저는 창원중학교에 재학하고 있는 학생입니다,1
저는 중학교 1학년 장동현 입니다,1
인문계 고등학교를 다니는 평범한 고등학생 입니다 ,1
저는 현재 고2 학생이에요,1
저는 19살 입니다,1
저는 중학생입니다,1
저는 고등학교에 재학중인 고2 학생이예요,1
경남에 살고 있는 고1 여학생 입니다,1
저는 평범한 중학교 학생입니다,1
현제 하사관을 꿈꾸는 15살 남학생입니다,1
고등학생에 갓 입학한 1학년입니다,1
현재 중3 여학생입니다,1
현재 고 2입니다,1
저는 현재 경기도에 살고있는 중3입니다,1
저는 현재 고2 남학생입니다,1
현재 중1 입니다,1
저는 이제 막 고등학교에 올라온 고1 일반고 학생입니다,1
특성화고 메카트로닉스과 3학년 재학생입니다,1
14살 중 1 인데요,1
도티님 저는 중1의 중학생유튜버입니다,1
전 남지중학교 2학년입니다,1
저는 공업계 마이스터고에 다니고 있는 학생입니다,1
19살 특성화고에 다니는 학생입니다,1
현재 재학중인 고1 입니다,1
저는 지금 고등학교에 재학중인 학생입니다,1
경북기계공업고등학교에 다니고 있는 1학년 입니다,1
저는 경북기계공업고등학교에 진학 중인 1학년입니다,1
저는 현재 경북기계공업고등학교에 재학중인 1학년 학생입니다,1
저는 고2 여학생입니다,1
마이스터고등학교에 다니는 1학년입니다,1
저는 고등학생 1학년입니다,1
마고 학생입니다,1
현재 경북기계공고를 재학중인 1학년 학생입니다,1
현제 마이스터고에 다니고있는 고딩입니다,1
경북기계공업고등학교에 재학중인 1학년 학생입니다,1
근데 저는 현재 고등학교를 다니고 있는 고1학생입니다,1
안녕하세요 고1여학생입니다,1
안녕하세요 고2 여학생입니다,1
저는 올해 중3인 전주에 사는 여학생입니다,1
안녕하세요 고 3 재학중입니다,1
저는 초월고등학교에 재학중인 3학년 강민영입니다,1
저는 지금 고 3 재학중인 학생인데 내신등급이 2학년 까지 55 등급입니다,1
올해 중학교 3학년인 여학생입니다,1
특성화고 전기과에 다니고있는 19세 학생입니다,1
저는 청소년심리상담사를 꿈꾸고 있는 중학교 3학년 여학생 입니다,1
저는 17살 인문계 고등학교 학생입니다,1
예비중3 여학생입니다,1
저는 이제 고2 올라간 여학생입니다,1
저는 예비고1 학생입니다,1
올해 15살인 학생입니다,1
저는 이제 고2올라간 여학생입니다,1
저는 이제 고3 올라가는 학생입니다,1
그런데 저의 12학년 과 석차 및 등급은 6등 241입니다,1
저는 예비고1입니다,1
저는 18살 입문계고등학교를 다니고 있는 평범한 학생입니다,1
대안학교를 다니고 있는 고2입니다,1
저는 특성화고 다니는 고2 학생이고 내신이 4등급 입니다,1
저는 올해 17살로 고등학교 입학을 앞두고있는 예비 고등학생 입니다,1
이제 고2 올라가는 일반고 학생입니다,1
예비 고2입니다,1
저는 이제 중3 올라가는 학생입니다,1
공고 재학 중인 고2 학생입니다,1
저는 예비 고2 신지민입니다,1
저는 이제 고2올라가는 학생입니다,1
안녕하세요 17살1월 기준 9학년 여학생입니다,1
이제 고등학교들어가는 예비고1일반고 여학생입니당,1
여중생15살 유령입니다,1
전북에 살고있는 07년 여학생입니다,1
저는 고등학교에 재학중인 학생입니다,1
이제 고등학교에 올라가는 학생 입니다,1
고등학교에 재학중인 학생입니다,1
18살 여학생입니다,1
현재 고3을 앞두고 있는 고2입니다,1
이제 곧 열일곱을 끝내는 고1 여학생입니다,1
현재 중3인 여학생입니다,1
상담사님 중2 남학생입니다,1
안녕하세요 일반고 재학 중인 2학년입니다,1
현재 중학교 1학년 끝나가는 중1입니다,1
저는 강원도에 사는 중1학생입니다,1
저는 14살 레몬입니다,1
안녕하세요 저는 원주중학교를 다니는 1학년 학생 박현서 인데요,1
강원도에 사는 중학교 1학년입니다,1
저는 일반고 학생입니다,1
현재 서울 모 자사고등학교 재학중인 고2입니다,1
현재 일반고에 진학 중인 고등학교 2학년 입니다,1
저는 중학교 3학년 재학 중인 여학생입니다,1
고등학교를 다니고 있는 dear입니다,1
문수고 1학년 이청란 입니다,1
저는 17살 일반계에 다니는 남학생입니다,1
저는 이제 곧 고등학교 입시중인 중3 입니다,1
저는 16살 중학교 3학년 여학생입니다,1
제가 중1 남학생입니다,1
저는 일반고를 다니고 있는 평범한 18살 여자 고등학생입니다,1
현재 고1입니다,1
저는 일반고혁신학교에 재학하고 있는 1학년 학생입니다,1
현재 15세인 여학생입니다,1
안녕하세요 저는 현재 고1인 학생입니다,1
현재 고 1인데요,1
저는 해외에 거주하고 있는 중2 학생입니다,1
현재 역사교육과 및 사학과를 꿈꾸는 중3 학생입니다,1
저는 고2 일반고를 재학중입니다,1
저는 14살인 중학생남자입니다,1
저는 중1중학생입니다,1
일반고 1학년입니다,1
현재 일반고를 다니고 있는 고등학생 1학년입니다,1
현재 중3 학생입니다,1
저는 평범한 중1 여학생입니다,1
고등학교 1학년을 다니고 있는 남학생입니다,1
저는 경북외국어고등학교를 진학중인 2학년 학생입니다,1
저는 특성화고 전자과에 진학중인 3학년 여자 학생입니다,1
저는 지금 일반계 고등학교 1학년에 재학 중인 학생입니다,1
일반고에 재학중인 고1 학생입니다,1
저는 현 고1입니다,1
고1 여학생입니다,1
저는 고등학교에 재학중인 고1 여학생입니다,1
저는 중국에 살고있는 고1 여학생 입니다,1
고등학교 1학년 2학기를 보내고있는 학생입니다,1
일반중 다니고 있는 중2 여학생입니다,1
저는 일반중에 다니는 중2 여학생입니다,1
저는 일반계 고등학교 다니는 2학년 인데요,1
통합이라고는 하지만 거의 이과인 고2 입니다,1
미용고등학교를 다니는 학생입니다,1
저는 중국 유학중인 중3 학생입니다,1
저는 부산에 살며 일반고에 재학 중인 고1입니다,1
저는 현재 외식조리과에 진학하고 있는 1학년 여고생입니다,1
전 중학교1학년 여학생입니다,1
여름방학이 끝난 고등학생 1학년입니다,1
안녕하세요 저는 현재 중국에서 2년 째 유학 중인 고등학교 2학년 여학생입니다,1
여고생입니다,1
안녕하세요 저는 18살 고2 입니다,1
저는 현재 중1입니다,1
이제 고1인 여학생입니다,1
전 고3 입니다,1
특성화고 진학을 꿈꾸는 중학교3학년 입니다,1
안녕하세요 저는 특성화고에 재학 중인 18살입니다,1
현재 일반고 다니는 고1 여학생입니다 ,1
저는 올해 중학교에 입학한 여학생입니다,1
저는 초등학교 4학년 아로마가명입니다,1
저는 부산에있는 여중을 다니는 학생입니다,1
저는 지금 고등학교2학년 여학생 입니다,1
저는 경상남도에 사는 중3여자입니다,1
저는 일반고에 재학중인 2학년 여학생입니다,1
저는 16살 남학생입니다,1
경기도에서 일반 고등학교를 다니고 있는 18살 학생입니다,1
일반고 다니고 있는 1학년 학생입니다,1
저는 평범한 여학생 입니다,1
저는 특성화고등학교에 다니고 있는 고등학교 2학년입니다,1
현재 예술고등학교에 재학중인 고2입니다,1
교사를 꿈꾸는 14살 학생입니다,1
저는 현재 고1 학생인 토마토입니다,1
저는 중학교 중1 여학생입니다,1
경기도에 있는 일반고등학교 1학년 여학생입니다,1
일반고 3학년 문과입니다,1
저는 일반고2학년인 학생입니다,1
저는 일반고 다니는 고1 남학생입니다,1
공업고등학교 재학 중인 고등학교 3학년입니다,1
평범한 중학교 남학생입니다,1
저는 대한민국에 사는 14살 여학생입니다,1
저는 15살 임재원 입니다,1
외국에 거주 중인 열여덟 살 고등학생 1학년입니다,1
특성화고에 재학중인 19살 학생입니다,1
과학고를 다니는 고1 학생입니다,1
중학교를 다니고 있는 학생입니다,1
저는 서울특별시에 거주하고 있는 중학생입니다,1
인천에 있는 일반고에 재학중인 2학년 여학생입니다,1
저는 특성화고에 재학중인 디자인과 2학년 학생입니다,1
고3 여학생 입니다,1
저는 중1유저 애플민트Co입니다,1
안녕하세요 저는 일반고 1학년에 재학중인 여학생입니다,1
저는 특성화고 회계과 3학년 재학 중인 학생입니다,1
안녕하세요 저는 고등학교에 재학 중인 학생입니다,1
저는 일반고등학교 1학년 재학중인 여고생입니다,1
일반고 고등학교 2학년 문과학생입니다,1
저는 일반고를 다니고있는 고2남학생입니다,1
저는 영화감독 예능 PD를 꿈꾸고 있는 고등학교 1학년입니다,1
저는 특목고체육고에 다니고있는 고3여학생 입니다,1
안녕하세요 저는 현재 인천에서 외국인학교를 다니고 있는 15세 중학생입니다,1
일반고인문계에 진학중인 고등학교 1학년 여학생 입니다,1
저는 서울 강북구 영훈고등학교에 다니는 1학년 입니다,1
저는 특성화고 재학 중인 3학년입니다,1
서울에 있는 사립 여고를 다니고 있는 1학년 학생입니다,1
저는 현재 성남시에 살고 있는 고등학교 1학년입니다,1
안녕하세요 중학교 2학년 여학생입니다,1
중 3인 남학생입니다,1
저는 16살 여자입니다,1
올해 고2 여고생입니다,1
고등학교에 한달정도 다니면서 적응중인 1학년 학생입니다,1
전자통신과 2학년 재학중입니다,1
일반고에 재학중인 고1 여학생입니다,1
17살인 학생입니다,1
저는 일반고에 재학중인 고1 여학생 입니다,1
강원도 원주에 살고있는 고등학교 2학년입니다,1
대구 달서구 사는 중3 남자입니다,1
저는 서울에 살고 있는 중2 남학생입니다,1
저는 올해 14살 여자 입니다,1
지방 일반고 고3 남학생입니다,1
저번에도 물어본 학생입니다,1
평범하게 지방에서 중학교를 다니고 있는 여학생입니다,1
저는 중 1 남자입니다,1
지금 특성화고에 재학중인 고3 학생입니다,1
저는 강원도에 거주중인 학생입니다,1
저는 인천사는 중3 학생입니다,1
안녕하세요 고1 남학생입니다,1
안녕하세요 저는 일반고에 진학하고 있는 1학년 학생입니다,1
저는 중학교 1학년14살 여학생입니다,1
중학생 1학년입니다,1
이제 중1인 학생입니다,1
올해 17살인 고등학교 1학년 학생입니다,1
안녕하세요 중 1학생입니다,1
이제 고 1로 올라온 학생입니다,1
현 고등학생입니다,1
안녕하세요 고등학교 1학년 여학생입니다,1
올해 중3인데요,1
저는 군특성화고에 재학중입니다,1
저는 이번에 고등학교에 들어간 학생입니다,1
저는 현재 고1입니다,1
저는 특성화고등학교에 다니는 고등학교 2학년 학생입니다,1
저는 중3 여자 입니다,1
저는 특성화 고에 다니는 고1 입니다,1
현재 중2인 학생입니다,1
저는 현재 특성화고등학교에 다니고 있는 3학년입니다,1
안녕하세요 고1 여학생 입니다,1
중학생1학년 입니다,1
저는 14살의 중학생 1학년 입니다,1
내년이면 고등학교에들어가는 중학교3학년입니다,1
일반고에 진학중인 고3 학생입니다,1
저는 일반고에 다니는 평범한 고3입니다,1
안녕하세요 17살 고등학생입니다,1
저는 일반고 재학중인 2학년입니다,1
일반고에 재학중인 2학년입니다,1
저는 올해 고2인 여학생입니다,1
저는 서울에있는 중학교를 다니고 있는 1학년 중학생 입니다,1
남도 시 중학교 다니는 14살 학생입니다,1
저는 경남 김해에 사는 한학생입니다,1
이제 고3을 들어가는 예비 고3 입니다,1
17세 여학생입니다,1
안녕하세요 저는 중학교 3학년 남민정입니다,1
애니메이터가 장래희망인 14살 학생입니다,1
저는 중학생 1학년입니다,1
경남 김해시에 사는 박성환 학생입니다,1
고등학생 1학년 여학생입니다,1
아직 고등학교 문턱에만 가본 고 1입니다,1
저는 아직 3학년 교실도 못가본 3학년 중학생 입니다,1
저는 14살 이동헌 입니다,1
저는 중학생 1학년 학생입니다,1
저는 서울에 살고 있는 평범한 중학교 1학년 학생입니다,1
저는 원도 시 중학교에 다니고 있는 김태영입니다,1
이번에 중학교를 들어온 1학년입니다,1
현재 일반고에 재학중인 고2 남학생입니다,1
원도 중학교에 재학중인 3학년 장광혁입니다,1
현재 유치원교사를 꿈꾸는 학생입니다,1
저는 천 고등학교에 다니는 1학년 학생 김나은입니다,1
전 고1 평범한 여고생입니다,1
일반고에 다니는 1학년 학생입니다,1
안녕하세요고3인문계 학생입니다,1
저는 고등학교 2학년 사격선수입니다,1
저는 이제14살중학교1학년 인데요,1
경상남도에서 중학교를 다니고 있는 학생입니다,1
저는 베트남 하노이에 살고있는 중학교 2학년 천서현 입니다,1
저는 중1 평범한 학생입니다,1
평범한 고3 남학생 입니다,1
저는 이제 고등학교 올라가는 17살 입니다,1
저는 과학고1학년 학생입니다,1
저는 지금 중학교에 재학중인 중학생 입니다,1
저는 현재 인문계를 다니고 있는 평범한 고2 입니다,1
일반고 2학년 여학생입니다,1
저는 18살 여고생입니다,1
안녕하세요 저는 경상남도에 살고 있는 중3입니다,1
저는 경상남도 진주시에 살고 있는 중3 여학생입니다,1
전남에 사는 고1 학생입니다,1
저는 고등학교에 고등학생으로 재학중인 학생입니다,1
저는 경상남도 진주시에 살고 있는 중3 학생입니다,1
저는 경상남도 진주시에 사는 중3여학생입니다,1
저는 경상남도 진주시에 살고있는 중3여학생입니다,1
저는 경상남도 진주에 사는 중3 여학생 입니다,1
16살 여학생입니다,1
저는 이제16살인 중3 입니다,1
저는 특성화 고등학교에 재학중인 2학년 여학생인데요,1
17살 여학생입니다,1
저는 경상남도 주시에 살고있는 중3 여학생입니다,1
저는 일반고에 다니는 고2 여학생입니다,1
저는 울산생활과학고등학교에 다니는 18살 여자 입니다,1
저는 특성화고에 다니는 학생입니다,1
저는 특성화고에 막 재학 중인 1학년 학생입니다,1
저는 일반고등학교에 다니는 3학년 이과 여학생입니다,1
저는 이제 18살 고등학교 2학년이고 대안학교 재학중인 학생입니다,1
현재 고등학교 3학년인 여학생인데요,1
저는 중학교2학년 남학생입니다,1
저는 올해 고3인 학생입니다,1
저는 고등학교 2학년 18살 학생입니다,1
일반고다니는 고 2학생입니다,1
저는 이제 막 고등학교 들어가는 1학년 학생입니다,1
16살 여중생입니다,1
중학교1학년으로 올라가는 여학생입니다,1
저는 현재 고3인 학생입니다,1
저는 구 중학교에 다니는 김민석입니다,1
저는 14세 이제 중학교에 올라가는 예비중학생입니다,1
저는 고1 여학생입니다,1
안녕하세요 저는 대구 사는 중2 여학생입니다,1
안녕하세요 저는 현재 중학교 3학년 재학 중인 학생이에요,1
안녕하세요 현재 과학고에 진학 중인 2학년 남학생입니다,1
저는 14살 여자 입니다,1
체육고등학교에 재학하고 있는 고3 학생입니다,1
18살 이제 고2인 학생입니다,1
중3학년 학생입니다,1
저는 18살 여학생입니다,1
곧 고등학교를 들어가는 예비고1 학생입니다,1
저는 고등학교 3학년 이과에서 정시를 노리고 있는 학생입니다,1
이제 고등학교 올라가는 학생입니다,1
저는 16살 여학생입니다,1
2020학년도 중3인 학생입니다,1
저는 예비고2 여학생입니다,1
예비 중3인 학생입니다,1
저는 현재 고등학생 2학년 학생입니다,1
